directedBy,Max_Rating,Min_Rating,Avg_Rating,,
José Padilha,3.83333,3.83333,3.83333,,
José Pedro Lopes,3.5,3.5,3.5,,
José Pinheiro,3.5,3.5,3.5,,
José Quintero,3.02632,3.02632,3.02632,,
José Semprún,0,0,0,,
José Skaf,2,2,2,,
Josée Dayan,3.66667,0,2.038426667,,
Josée Fortier,2.5,2.5,2.5,,
Joung Yumi,3.5,3.5,3.5,,
Jouri Smit,0,0,0,,
Jovan Živanović,4.25,4,4.125,,
Joy Jones,0,0,0,,
Joy Mathew,3.625,3.625,3.625,,
Joyce Buñuel,4,1.5,2.75,,
Joyce Chopra,3.66667,0,1.804013333,,
Joyce Wong,3.25,3.25,3.25,,
Joycelyn Engle,3,3,3,,
Jozef K. Richards,2,2,2,,
João Canijo,3.7,0,2.2375,,
João César Monteiro,4,2,3.248195714,,
João Jardim,3.83333,3.25,3.5520825,,
João Maia,3.35714,3.35714,3.35714,,
João Mendes,4,4,4,,
João Mário Grilo,0,0,0,,
João Nicolau,2.9,0,1.45,,
João Paulo Miranda Maria,2.66667,2.66667,2.66667,,
João Pedro Rodrigues,3.75,2.73684,3.072182,,
Joël Corcia,3.5,3.5,3.5,,
Joël Séria,5,3.24,4.246666667,,
Joël Vanhoebrouck,3,3,3,,
Juan Antin,3.38889,3.38889,3.38889,,
Juan Antonio Bardem,3.875,0,2.0114025,,
Juan Antonio Bayona,3.72832,2.95701,3.4728325,,
Juan Calvo,0,0,0,,
Juan Camilo Pinzón,1.5,0.5,1,,
Juan Carlos Cremata Malberti and  Iraida Malberti Cabrera,3.58333,3.58333,3.58333,,
Juan Carlos Medina,3.12605,2.92857,3.02731,,
Juan Carlos Tabío,3.4,3.4,3.4,,
Juan Carlos Valdivia,2.8,0,1.4,,
Juan Daniel F. Molero,2.5,2.5,2.5,,
Juan Estelrich,4.5,4.5,4.5,,
Juan García Atienza,2.5,2.5,2.5,,
Juan González,1.4,1.4,1.4,,
Juan Guerrero Zamora,0,0,0,,
Juan Ibáñez,4,1.5,2.633333333,,
Juan López Moctezuma,3.12069,2.5,2.8051725,,
Juan Medina,2.16667,2.16667,2.16667,,
Juan Michael Konshuk-Mas,0,0,0,,
Juan Miñón,3,3,3,,
Juan Pablo Buscarini,3.16667,1.5,2.5625,,
Juan Pablo Rebella and  Pablo Stoll,3.48039,3.225,3.352695,,
Juan Pablo Ternicier,1.5,1.5,1.5,,
Juan Padrón,3.75,3.75,3.75,,
Juan Palacios,0,0,0,,
Juan Piquer Simón,3,1.73077,2.43759,,
Juan Salas,1.5,1.5,1.5,,
Juan Sires,0,0,0,,
Juan Taratuto,3.6,2.33333,3.0428575,,
Juan Vautista,3.66667,3.66667,3.66667,,
Juan Xiol,0,0,0,,
Juan de Orduña,3,0,1.55,,
Juanjo Giménez Peña,3.59091,3.59091,3.59091,,
Juanma Carrillo,3,3,3,,
Judd Ehrlich,3.83333,0,2.373013333,,
Jude Anthany Joseph,3.5,2.5,3,,
Jude Gerard Prest,2,2,2,,
Jude Pauline Eberhard,0,0,0,,
Jude Weng,1.66667,1.66667,1.66667,,
Judi Dench,0,0,0,,
Judit Oláh,2.25,2.25,2.25,,
Judith Colell,2,2,2,,
Judith Vogelsang,0,0,0,,
Judy Irving,3.785,2.6,3.1925,,
Judy Kinberg,0,0,0,,
Judy Naidoo,0,0,0,,
Jugal Hansraj,2.43333,2.43333,2.43333,,
Juha Wuolijoki,3.8,2.75,3.275533333,,
Juho Kuosmanen,3.6875,3.63,3.65875,,
Jukka Kärkkäinen,4.25,3.94444,4.09722,,
Jukka Sipilä,3.5,3.5,3.5,,
Jukka Vidgren,3.28571,3.28571,3.28571,,
Jukka Virtanen,3.33333,3.33333,3.33333,,
Jukka-Pekka Siili,3.6875,2.17778,2.968464,,
Jukka-Pekka Valkeapää,3.51852,3.51852,3.51852,,
Julaluck Ismalone,3.5,3.5,3.5,,
Juleen Compton,0.5,0.5,0.5,,
Jules Bass,3.48828,0.5,2.698302,,
Jules Bass and  Arthur Rankin Jr.,3.66667,3.08871,3.37546,,
Jules Bass and  Arthur Rankin Jr. and  Fumihiko Takayama and  Katsuhisa Yamada,3.58627,3.58627,3.58627,,
Jules Dassin,4.25,0,3.0203855,,
Jules Dassin and  Norman Taurog,3.31522,3.31522,3.31522,,
Jules Stewart,3.35714,3.35714,3.35714,,
Jules White,3.5,0,1.821428571,,
Julia Dahr,0,0,0,,
Julia Dyer,3.33333,3.15789,3.24561,,
Julia Hart,3.40152,2.69231,3.1172075,,
Julia Kennelly,2,2,2,,
Julia Kots,0,0,0,,
Julia Leigh,2.90423,2.90423,2.90423,,
Julia Loktev,3.10714,3.02941,3.068275,,
Julia Marchese,4.375,4.375,4.375,,
Julia Montejo and  Jesus Nebot,2.35714,2.35714,2.35714,,
Julia Patricia Perez,3.83333,3.83333,3.83333,,
Julia Reagan,3.77778,3.77778,3.77778,,
Julia Ritschel,0.5,0.5,0.5,,
Julia St. Vincent,2.25,2.25,2.25,,
Julia Sweeney,3.9,3.45916,3.67958,,
Julia Verdin,0,0,0,,
Julia von Heinz,3.5,2.9,3.2,,
Julian Birkett,3,3,3,,
Julian Branciforte,3,3,3,,
Julian Chojnacki,0,0,0,,
Julian Cole,1,1,1,,
Julian Farino,3.83871,3.0625,3.36797,,
Julian Galea,0,0,0,,
Julian Goldberger,2.45161,2,2.225805,,
Julian Grant,1.75,1.75,1.75,,
Julian Higgins,3.25,3,3.125,,
Julian Jarrold,3.83333,0,2.629696923,,
Julian Józef Antonisz,3.5,3.5,3.5,,
Julian Pölsler,3.21831,3.21831,3.21831,,
Julian Richards,3,0,1.48628,,
Julian Roffman,2.95833,2.25,2.604165,,
Julian Shaw,2.7,2.7,2.7,,
Julian Stone,2.78571,2.78571,2.78571,,
Julian T. Pinder,3.27273,2.5,2.886365,,
Juliano Ribeiro Salgado and  Wim Wenders,4.03058,4.03058,4.03058,,
Julie Anne Robinson,3.5,2.85788,3.246486667,,
Julie Cypher,3,3,3,,
Julie Delpy,3.44737,0,2.631801667,,
Julie Zhan,0,0,0,,
Julien Abraham,3.5,2.875,3.1875,,
Julien Duvivier,4.5,0,2.537144524,,
Julien Duvivier and  José Antonio Nieves Conde,3,3,3,,
Julien Duvivier and  Victor Fleming and  Josef von Sternberg,2.58333,2.58333,2.58333,,
Julien Fezans,3,3,3,,
Julien Fournet,0,0,0,,
Julien Lacombe,2.25,2.25,2.25,,
Julien Levy,0,0,0,,
Julien Magnat,2.87398,2.87398,2.87398,,
Julien Neel,3.5,3.5,3.5,,
Julien Nitzberg,3.31538,0,1.65769,,
Juliet Bergh,3.33333,3.33333,3.33333,,
Juliet Landau,0,0,0,,
Julio Aldama,0,0,0,,
Julio Bressane,3.16667,1.5,2.472223333,,
Julio Castillo,0,0,0,,
Julio Diamante,3,3,3,,
Julio Médem,3.30952,3.30952,3.30952,,
Julio Quintana,2.3,2.3,2.3,,
Julio Salvador,1.5,1.5,1.5,,
Julio Saraceni,3.75,3,3.375,,
Julius Avery,3.3067,3.13235,3.219525,,
Julius Berg,2.66129,2.66129,2.66129,,
Julius Onah,4.25,2.7715,3.41193,,
Julius Potocsny,0,0,0,,
Julius R. Nasso,2.47059,2.47059,2.47059,,
Julius Ramsay,2.55556,1,1.77778,,
Juliusz Machulski,4.03846,0,3.011119286,,
July Hygreck,4,4,4,,
Jun Gallardo,0,0,0,,
Jun Lana,5,1.75,3.5416675,,
Jun Shishido,4.5,4.5,4.5,,
Jun'ya Satô,2.33333,0,0.777776667,,
Jun-ik Lee,3.64634,3.64634,3.64634,,
Jung Bum-shik,3.22449,3.22449,3.22449,,
Jung Ji-woo,3.34615,3.33333,3.33974,,
Jung Sung-il,3.5,3.5,3.5,,
Junichi Ishikawa,4,3,3.5,,
Junichi Mori,4.5,3.5,4.033965,,
Junji Hanado,0,0,0,,
Junji Kurata,2,2,2,,
Junji Sakamoto,4,0,1.6,,
Juno John Lee,2.94118,2.94118,2.94118,,
Junya Okabe,0,0,0,,
Juraj Herz,4,2.75,3.611464286,,
Juraj Jakubisko,3.5,2.82653,3.1316325,,
Jure Pavlović,0,0,0,,
Juris Kursietis,3.4,2.83333,3.116665,,
Juris Podnieks,3.25,3.25,3.25,,
Jurriën Rood,3.75,3.75,3.75,,
Jus Addiss,3,3,3,,
Jussi Hiltunen,0,0,0,,
Justin Benson and  Aaron Moorhead,3.44717,3.44717,3.44717,,
Justin Benson and  Gregg Bishop and  Aaron Moorhead and  Marcel Sarmiento and  Nacho Vigalondo,2.47934,2.47934,2.47934,,
Justin Bergonzoni,1.75,1.75,1.75,,
Justin Chambers,2.5,2.5,2.5,,
Justin Chon,3.52273,3.28571,3.40422,,
Justin Connor,0,0,0,,
Justin D. Hilliard,0,0,0,,
Justin Dec,2.84483,2.83333,2.83908,,
Justin Dix,3.35714,2.26,2.80857,,
Justin Doescher,1.75,1.75,1.75,,
Justin Donnelly,2.8,2.8,2.8,,
Justin Drobinski,5,5,5,,
Justin Edgar,2.75,0.5,1.583333333,,
Justin G. Dyck,5,0,2.026457857,,
Justin Galindo,0,0,0,,
Justin Harding,3,3,3,,
Justin Hardy,3.57143,0,1.674604444,,
Justin Herring,3.5,3.5,3.5,,
Justin Hunt,4.5,3.1,3.8,,
Justin Johnson and  Aaron Marshall and  Erik Mauck,2.96429,2.96429,2.96429,,
Justin Jones,3.5,0,1.722223333,,
Justin Kelly,3.16667,1.97826,2.7104125,,
Justin Le Pera,1,1,1,,
Justin Lerner,3,3,3,,
Justin Lin,3.55187,0,2.83287,,
Justin Lo,2.375,2.375,2.375,,
Justin MacGregor,2.95,2.72222,2.83611,,
Justin McCarthy,3.3125,3.3125,3.3125,,
Justin McConnell,4,2.89286,3.44643,,
Justin O'Brien,1,1,1,,
Justin P. Lange,3.03846,3.03846,3.03846,,
Justin Reardon,3.11786,3.11786,3.11786,,
Justin Russell,0.75,0.75,0.75,,
Justin Salerian,3.5,3.5,3.5,,
Justin Seaman,2.9,2.9,2.9,,
Justin Steele,2.6,2.22222,2.41111,,
Justin Theroux,3.5051,3.5051,3.5051,,
Justin Thomas Ostensen,3,3,3,,
Justin Trefgarne,2.41176,2.41176,2.41176,,
Justin Webster,3.5,3.5,3.5,,
Justus von Dohnányi,3.78571,3.78571,3.78571,,
Juwan Chung,1.5,1.5,1.5,,
Juwan Lee,Denise Boutte,Denise Boutte,,,
Juzo Itami,4.3,2,3.470677273,,
Jyothi Krishna,2.5,1,1.75,,
Jyoti Swaroop,3.47368,3.47368,3.47368,,
Jyri Kähönen,3.375,3,3.1875,,
Ján Kadár and  Elmar Klos,3.99004,3.99004,3.99004,,
János Darvas,3.25,3.25,3.25,,
János Vadász,3.5,3.5,3.5,,
János Xantus,3.75,3.75,3.75,,
Jéro Yun,3,3,3,,
Jérémie Cuvillier,0,0,0,,
Jérémie Guez,3.13636,2.5,2.81818,,
Jérémy Clapin,3.7,3.1,3.437413333,,
Jérémy Comte,3.67647,3.67647,3.67647,,
Jérôme Boivin,3.25664,2,2.62832,,
Jérôme Bonnell,3.5,2.77778,3.131945,,
Jérôme Cornuau,3,2.75,2.875,,
Jérôme Enrico,3.37234,0,1.68617,,
Jérôme Le Gris,3.25,3.25,3.25,,
Jérôme Momcilovic,2.5,2.5,2.5,,
Jérôme Salle,3.45,3.22872,3.321986,,
József Gémes,3.5,3.08108,3.327026667,,
Jôji Iida,2.82143,2.82143,2.82143,,
Jörg Bundschuh,3.75,3.75,3.75,,
Jörg Buttgereit,3.05,2.44444,2.83442,,
Jörg Grünler,0,0,0,,
Jörgen Bergmark,5,2.5,3.75,,
Jörn Donner,4.125,2,3.105176364,,
Jørgen Lerdam,2.5,2.5,2.5,,
Jørgen Leth,3.9,2.2,3.408276667,,
Júlio Bressane,3.25,0,1.972223333,,
Júlíus Kemp,2.46154,2.46154,2.46154,,
Jürgen Goslar,3.25,0,1.625,,
Jürgen Staal,2.33333,2.33333,2.33333,,
K. M. Sarjun,0,0,0,,
K. Madhu,3.75,2.5,3.25,,
K. Natraj,2.5,2.5,2.5,,
K. R. Prabhu,3.75,3.75,3.75,,
K. Rajagopal,2.5,2.5,2.5,,
K. Selvabharathy,1.5,1.5,1.5,,
K. Vijaya Bhaskar,3.66667,3.66667,3.66667,,
K. Viswanath,3.4,3.3,3.35,,
K.S Ashoka,3,3,3,,
K.S. Sethumadhavan,3,3,3,,
KD Davison,4,4,4,,
Kabir Khan,3.628,1.15625,2.762883333,,
Kabir Sadanand,3.25,3.25,3.25,,
Kad Merad,3.5,3.5,3.5,,
Kader Ayd,3,3,3,,
Kadri Venkata Reddy,3.3,3.3,3.3,,
Kahlil Joseph,4,3.56,3.78,,
Kai Blackwood,0,0,0,,
Kai Hansen,0,0,0,,
Kai Kreuser,3.66667,3.66667,3.66667,,
Kai S. Pieck,3.15,3.15,3.15,,
Kai Wessel,3.6875,3.5,3.59375,,
Kaige Chen,3.70468,2.7156,3.26622625,,
Kaisa Rastimo,3.625,2,2.8125,,
Kaj Pindal,2.5,2.5,2.5,,
Kaku Arakawa,3.36364,3.36364,3.36364,,
Kalaivanan Kannadasan,3.5,3.5,3.5,,
Kam Ka-Wai,3,2.96875,2.984375,,
Kamal Ahmed,5,2.75,3.875,,
Kamal Amrohi,3.33333,3.33333,3.33333,,
Kamal Hassan,3,3,3,,
Kamal K.M.,4,4,4,,
Kamal Sadanah,1,1,1,,
Kamen Kalev,3.27778,2.5,2.88889,,
Kan Eguchi,2.5,2.5,2.5,,
Kan Mukai,0,0,0,,
Kane Guglielmi,0,0,0,,
Kang Cheng and  Shan Hua,3,3,3,,
Kang Hyo-jin,3.41667,1.5,2.458335,,
Kang Hyoung-chul,3.5,2.92857,3.214285,,
Kang Woo-suk,3.5,0,1.166666667,,
Kang-sheng Lee,2.53571,2.53571,2.53571,,
Kannan Iyer,2,2,2,,
Kanta Kamei,3.11538,3,3.05769,,
Kantu Lentz,0,0,0,,
Kanye West,3,3,3,,
Kapil Sharma,4,4,4,,
Kaprice Kea,3.5,3.5,3.5,,
Kara Mulrooney,3,3,3,,
Karam Gill,3,3,3,,
Karan Anshuman,0,0,0,,
Karan Gour,0,0,0,,
Karan Johar,3.67808,2.33333,3.1368525,,
Karan Malhotra,3.36207,2.92857,3.14532,,
Karel Kachyna,3.71154,3.71154,3.71154,,
Karel Lamač,4,0,2.785714286,,
Karel Reisz,4,1.875,3.383965556,,
Karen Arthur,3.5,0,2.7121525,,
Karen Collins,3.5,3.5,3.5,,
Karen Disher and  Guy Moore,3.67167,3.67167,3.67167,,
Karen Gevorkyan,2.5,2.5,2.5,,
Karen Koula Sossiadis,0,0,0,,
Karen Leigh Hopkins,3.01538,3.01538,3.01538,,
Karen M. Cantley,3.1,3.1,3.1,,
Karen Mahood,0,0,0,,
Karen McGann,3.92593,3.5,3.712965,,
Karen Moncrieff,3.36634,2.33333,2.858267143,,
Karen Skloss,2.33333,2.33333,2.33333,,
Kari Paljakka,2.875,2.875,2.875,,
Kari Skogland,3.77801,0,2.438277692,,
Kari Väänänen,3.40476,3.35,3.37738,,
Karim Amer,3.49662,3.49662,3.49662,,
Karim Aïnouz,3.6875,0,1.8125,,
Karim Hussain,2.57692,0,1.28846,,
Karin Babinská,3.125,3.125,3.125,,
Karin Engman,3.5,3.5,3.5,,
Karin Fahlén,3.125,3.125,3.125,,
Karin Hayes,3.375,3.375,3.375,,
Karin Howard,1.5,1.5,1.5,,
Karin Julsrud,2.275,2.275,2.275,,
Karin Steinberger,3.4375,3.4375,3.4375,,
Karin af Klintberg,3.63636,3.63636,3.63636,,
Karl DiPelino,1.65,1.65,1.65,,
Karl Francis,0,0,0,,
Karl Freund,3.55851,0,2.293493333,,
Karl Genus,2.5,2.5,2.5,,
Karl Geurs,3.45455,3.45455,3.45455,,
Karl Hartl,3.75,0,1.75,,
Karl Johan Larsson,2.08333,2.08333,2.08333,,
Karl Lemieux,4,4,4,,
Karl Malkames,0,0,0,,
Karl Mueller,2.7069,2.48276,2.59483,,
Karl Preusser,0,0,0,,
Karl Ritter,3.5,3.5,3.5,,
Karll Panaka,2.38889,2.38889,2.38889,,
Karoline Herfurth,0,0,0,,
Karsten Kjær,2,2,2,,
Karthik Subbaraj,3.44444,2.6875,3.163026667,,
Karthik Thangavel,3.75,3.75,3.75,,
Karyn Kusama,3.53255,2.7067,3.155682,,
Kasi Lemmons,3.54922,2.5,3.185284,,
Kasia Adamik,3.16667,0,1.583335,,
Kasper Barfoed,3.27778,2.91033,3.093006667,,
Kasper Gaardsøe,0,0,0,,
Kasper Rune Larsen,0,0,0,,
Kasra Farahani,3.12602,3,3.06301,,
Kat Coiro,3.45833,2.8125,3.072013333,,
Kat Slater,0,0,0,,
Katarina Rue,0,0,0,,
Katarzyna Gondek,3.5,3.5,3.5,,
Katarzyna Roslaniec,2.88235,2.3,2.591175,,
Kate Barker-Froyland,2.90541,2.90541,2.90541,,
Kate Broome,4,4,4,,
Kate Brown,3.58333,3.58333,3.58333,,
Kate Bush,3.5,3.5,3.5,,
Kate Churchill,3.1,3.1,3.1,,
Kate Connor and  Michael Worth,2.33333,2.33333,2.33333,,
Kate Dolan,2.5,2.5,2.5,,
Kate Geis,3.5,3.5,3.5,,
Kate Madison,2.83333,2.83333,2.83333,,
Kate McLean,0,0,0,,
Kate Rees Davies,3.125,3.125,3.125,,
Kate Trefry,2,2,2,,
Katell Quillévéré,3.74,3.27778,3.434496667,,
Katharina Gellein Viken,4.25,4.25,4.25,,
Katharina Kastner,2.75,2.75,2.75,,
Katharine Round,3.5,3.5,3.5,,
Katherine Dieckmann,2.9375,0,1.890625,,
Katherine Fairfax Wright and  Malika Zouhali-Worrall,3.58333,3.58333,3.58333,,
Katherine Jerkovic,3,3,3,,
Katherine Stenholm,0,0,0,,
Kathleen Man Gyllenhaal,0,0,0,,
Kathleen Marshall,3.29412,3.29412,3.29412,,
Kathryn Bigelow and  Monty Montgomery,2.95455,2.95455,2.95455,,
Kathryn Lee Moss,3,3,3,,
Kathryn Millard,2.5,0,1.25,,
Kathy Herndl,2,2,2,,
Katie Aselton,2.5,2.5,2.5,,
Katie Dellamaggiore,3.60606,3.60606,3.60606,,
Katie Found,2.5,2.5,2.5,,
Katie Mitchell,0,0,0,,
Katie Wolfe,3.16667,3.16667,3.16667,,
Katina Medina Mora,3.66667,2.375,3.020835,,
Katja Raganelli,3.5,3.5,3.5,,
Katja von Garnier,4.625,2.85252,3.74055,,
Katrin Bowen,0,0,0,,
Katrin Gebbe,3.40909,1,2.204545,,
Katrin Ottarsdóttir,4,0,2.416666667,,
Katsuhiro Otomo,3.75,3.5,3.625,,
Katsuhito Akiyama,3.6,3.6,3.6,,
Katsuo Fukuzawa,3.5,3.25,3.375,,
Katsuyuki Motohiro,3.62069,0,2.5758375,,
Katt Shea,5,2.55,3.18607,,
Katya Bankowsky,3.5,3.5,3.5,,
Kaveh Bakhtiari,0,0,0,,
Kaveh Sajadi Hoseini,3,3,3,,
Kaya Redford,0.5,0.5,0.5,,
Kayo Hatta,3.51129,3.51129,3.51129,,
Kazimierz Kutz,3.33333,3.33333,3.33333,,
Kazuaki Kiriya,3.4375,3.08308,3.202616667,,
Kazuaki Ue,2.5,2.5,2.5,,
Kazuchika Kise,3.74444,3.55242,3.632933333,,
Kazuhiko Hasegawa,3.75,0,1.875,,
Kazuhiko Okabe,1.8,1.8,1.8,,
Kazuhiko Yukawa,3,3,3,,
Kazuhiro Soda,4,3.5,3.75,,
Kazuhisa Takenôchi,3.74784,3.74784,3.74784,,
Kazuhito Kikuchi,2,2,2,,
Kazuhito Nakae,3.25,3.25,3.25,,
Kazuki Akane and  Yoshiyuki Takei,3.44565,3.44565,3.44565,,
Kazuki Katashima,0,0,0,,
Kazuki Ohmori,3.41667,3.21429,3.293653333,,
Kazuo Ikehiro,3.75,0,2.462345556,,
Kazuo Mori,3.66667,0,2.606395556,,
Kazuo Oga,1.25,1.25,1.25,,
Kazuto Kodama,0,0,0,,
Kazuto Nakazawa,3.5,3.5,3.5,,
Kazuya Konaka and  Corey Yuen,3.26562,3.26562,3.26562,,
Kazuya Murata,3.60517,3.60517,3.60517,,
Kazuya Sasahara,2.88462,2.88462,2.88462,,
Kazuya Shiraishi,3.75,0,2.542424,,
Kazuya Tsurumaki,3.93718,3.34615,3.677776667,,
Kazuyuki Shibuya,2.66667,2.66667,2.66667,,
Ke Guo,0,0,0,,
Keanu Reeves,3.18359,3.18359,3.18359,,
Kedar Korde,1,1,1,,
Keefe Brasselle and  I. Robert Levy,3.75,3.75,3.75,,
Kees Van Oostrum,1.78571,1.5,1.642855,,
Kees van Nieuwkerk,2.5,2.5,2.5,,
Kei Fujiwara,3,3,3,,
Kei Horie,3,3,3,,
Kei Ishikawa,3,0,1.5,,
Kei Kumai,3.26667,0,1.766666667,,
Kei Morikawa,3,3,3,,
Kei'ichi Sato,3.16667,1.75,2.4689025,,
Keiichi Hara,4,1.16667,3.363022222,,
Keiichi Sato,2.45,2.45,2.45,,
Keishi Otomo,2.91667,0,1.083334,,
Keishi Ōtomo,0,0,0,,
Keisuke Kinoshita,4.25,0,1.90482075,,
Keisuke Yoshida,4,0,1.45,,
Keita Amemiya and  Shun'ichi Hirano and  Ryûta Miyake and  Hirohisa Sasaki and  Kôsuke Suzuki and  Keisuke Toyoshima and  Akio Yoshida,2.78571,2.78571,2.78571,,
Keitaro Motonaga,2.8125,1.6,2.20625,,
Keith Alan Morris,2.5,2.5,2.5,,
Keith Allen,2,2,2,,
Keith Allen Burns,2.16667,2.16667,2.16667,,
Keith Behrman,3.49153,2.83333,3.16243,,
Keith Boynton,0,0,0,,
Keith Cheetham,0,0,0,,
Keith Cossrow and  Bennett Viseltear,4.1,4.1,4.1,,
Keith Gordon,3.70933,2.76984,3.253386,,
Keith Hartman,3.5,3.36364,3.43182,,
Keith Li,4,3.5,3.75,,
Keith Melton,3.09091,2.66667,2.87879,,
Keith Rondinelli,0,0,0,,
Keith Samples,3.1,2.43989,2.84663,,
Keith Sutliff,0,0,0,,
Keith Walley,0,0,0,,
Keith Wright,1.91667,1.91667,1.91667,,
Keizou Shimizu,4.375,3.875,4.125,,
Kelcey Coe,0,0,0,,
Kellen Moore,2.72727,2.72727,2.72727,,
Kelley Slagle,3.5,3.5,3.5,,
Kelly Anderson,4,4,4,,
Kelly Duane and  Katie Galloway,3.33333,3.33333,3.33333,,
Kelly Fremon,3.70469,3.70469,3.70469,,
Kelly Reichardt,3.59494,2,3.244311111,,
Kelly Sandefur,2.75,2.75,2.75,,
Kelly Smith,2.6,2.6,2.6,,
Kels Goodman,3.5,3.5,3.5,,
Kelsey Mann,3.14286,3.14286,3.14286,,
Kelsey T. Howard,1.5,0,0.75,,
Kelvin Richards,0,0,0,,
Kelvin Tong,2.42857,2.42857,2.42857,,
Ken Annakin and  Andrew Marton and  Bernhard Wicki and  Darryl F. Zanuck,3.89812,3.89812,3.89812,,
Ken Annakin and  Harold French,3.33333,3.33333,3.33333,,
Ken Annakin and  Sam Itzkovitch,3.33333,3.33333,3.33333,,
Ken Blakey,2.33333,2.33333,2.33333,,
Ken Blancato,2.75,2.75,2.75,,
Ken Brisbois,0,0,0,,
Ken Burns,4.25,0,3.280934118,,
Ken Burns and  Lynn Novick,4.02027,4.02027,4.02027,,
Ken Cameron,3.64706,0,1.419118333,,
Ken Del Vecchio,2,2,2,,
Ken Dixon,2.28571,2.28571,2.28571,,
Ken Druckerman,0,0,0,,
Ken Feinberg,0,0,0,,
Ken Finkleman,3.09026,2.68182,2.924026667,,
Ken G. Hall,0,0,0,,
Ken Girotti and  Tara Ellis,0,0,0,,
Ken Handler,2,2,2,,
Ken Hannam,3.4,3.4,3.4,,
Ken Harrison,3.5,0,1.75,,
Ken Hughes,3.5,1.75,2.923127778,,
Ken Iizuka,2,0.5,1.416666667,,
Ken Kwapis,3.31375,1,2.582373333,,
Ken Kwek,0,0,0,,
Ken Lam,3.5,3.5,3.5,,
Ken Liotti,3,3,3,,
Ken Loach,4.08333,2.66667,3.503445714,,
Ken Mandel,1,1,1,,
Ken Meyer,1.83333,1.83333,1.83333,,
Ken Mills,3.75,3.75,3.75,,
Ken Musen,3,3,3,,
Ken Ochiai,3.5,3.5,3.5,,
Ken Osborne,2.5,2.5,2.5,,
Ken Rodgers,3.82353,3.82353,3.82353,,
Ken Roht,0,0,0,,
Ken Scott,3.72126,2.89722,3.319675,,
Ken Tipton,0,0,0,,
Ken Wiederhorn,4,1.81141,2.89455,,
Ken Winkler,2.75,2.75,2.75,,
Ken'ichi Fujiwara,1.5,0,0.75,,
Kenan Harris-Holley,3,3,3,,
Keng Guan Chiu,2.4,2.4,2.4,,
Kenji Katagiri,4.5,4.5,4.5,,
Kenji Kodama,3.86538,2.66667,3.170954286,,
Kenji Misumi,4.33333,0,2.987634706,,
Kenji Mizoguchi,4.01801,0,3.4000665,,
Kenji Nagasaki,3.94737,3.56522,3.756295,,
Kenji Nakanishi,2,2,2,,
Kenji Uchida,3.92857,3.4375,3.622023333,,
Kenki Saegusa,0,0,0,,
Kenn MacRae,1.5,0,0.75,,
Kenn Scott,1.5,1.5,1.5,,
Kenneth A. Carlson,4.5,3.54297,4.021485,,
Kenneth Bi,4,0,2.166666667,,
Kenneth Bowser,4,2.66667,3.3779175,,
Kenneth Branagh,4.08947,0,2.784398,,
Kenneth Castillo,0,0,0,,
Kenneth Chamitoff,1,1,1,,
Kenneth Eng,4,4,4,,
Kenneth J. Berton,2.33333,2,2.166665,,
Kenneth Johnson,3.43333,0,2.801055833,,
Kenneth Mader,2.16667,1.25,1.708335,,
Kenneth Muller,2.5,2.5,2.5,,
Kenneth Thomas,3,3,3,,
Kenny Gage,2.875,0,1.73611,,
Kenny Golde,2.875,2.875,2.875,,
Kenny Leon,3.45,2.17105,2.934675,,
Kenny Riches,3.3,3.3,3.3,,
Kent Alterman,2.91081,2.91081,2.91081,,
Kent Cheng,0,0,0,,
Kent Martin,0,0,0,,
Kent Moran,2.25,2.25,2.25,,
Kenta Fukasaku,2.66667,1.875,2.270835,,
Kenta Fukasaku and  Kinji Fukasaku,2.42248,2.42248,2.42248,,
Kentaro Hagiwara,2.9,0,1.45,,
Kentaro Moriya,3.25,3.25,3.25,,
Kentaro Otani,0,0,0,,
Kentarô Ôtani,3.78571,2.25,3.17216,,
Kenton Bartlett,5,5,5,,
Kentucker Audley,0,0,0,,
Kerem Sanga,3.55882,3.52381,3.541315,,
Keri Collins,3,3,3,,
Kerri O'Kane,3.66667,3.66667,3.66667,,
Kerry Asmussen,3.09524,3.09524,3.09524,,
Kerry Bellessa,2.92857,2.92857,2.92857,,
Kerry Beyer,2.83333,2.83333,2.83333,,
Kerry Feltham,2,2,2,,
Kerry Yang,3,3,3,,
Kerstin Karlhuber,3.0625,3.0625,3.0625,,
Kerthy Fix,3.66667,3.66667,3.66667,,
Keshhav Panneriy,0,0,0,,
Ketan Mehta,3.65625,0,2.40625,,
Kevan Funk,2.5,2.5,2.5,,
Kevan Otto,3.83333,0,1.916665,,
Kevan Peterson,1.875,0,0.625,,
Kevan Tucker,0,0,0,,
Keven McAlester,3.54762,2.5,3.02381,,
Kevin A. McCarthy,5,5,5,,
Kevin Allen,3.14078,2.1833,2.81656,,
Kevin Arbouet,0,0,0,,
Kevin Booth,4,3.46429,3.728533333,,
Kevin Bray,3.02168,1.3,2.39513,,
Kevin Breslin,0,0,0,,
Kevin Brownlow and  David Gill,3.86364,3.86364,3.86364,,
Kevin Byrnes,2.5,2.5,2.5,,
Kevin Carraway,3.07143,2.06818,2.532646667,,
Kevin Chenault,0,0,0,,
Kevin Chicken,2.125,2.125,2.125,,
Kevin Conner,4.25,2.75,3.5803575,,
Kevin Connolly,3.33333,1.94444,2.827156667,,
